review_id,review_text,rating,sentiment,category,verified_purchase
REV-075722,One star! The unclear billing of this plumbing repair is horrific. Avoid this company at all costs for your. Refused to take responsibility for property damage.,1,0,Services & Professional,True
REV-080185,"Really happy with the pest control treatment. It offers thorough inspection, and consistently dependable service.",4,1,Services & Professional,False
REV-019865,"Really happy with the winter jacket. It offers premium finish, and arrived fast and fits true to size.",4,1,Retail & Apparel,False
REV-076700,Unprofessional and incompetent team doing the lawn maintenance. The damaged my property is unacceptable. Refused to take responsibility for property damage.,1,0,Services & Professional,True
REV-092992,Avoid this company at all costs for your oil change service. The hidden extra fees is unacceptable. Still waiting for a callback two weeks later.,1,0,Services & Professional,True
REV-076435,"Really happy with the oil change service. It offers thorough inspection, and fair quote with no surprise fees at the end.",4,1,Services & Professional,True
REV-084005,"Really happy with the plumbing repair. It offers expert craftsmanship, and finished ahead of schedule with zero hassle.",4,1,Services & Professional,False
REV-080918,Do not recommend this oil change service at all. Suffers from two hour late arrival. Still waiting for a callback two weeks later.,2,0,Services & Professional,True
REV-060768,Do not recommend this ultrabook laptop at all. Suffers from buggy companion software. Tech support was unresponsive and voided the warranty.,2,0,Consumer Tech & Electronics,True
REV-050075,Upgraded from my old device to this wireless headphones. The instant pairing is exceptional! Fast shipping and solid protective packaging.,5,1,Consumer Tech & Electronics,False
REV-027702,Waited over an hour only to receive terrible grilled steak. The sticky tables is unacceptable. Several in our party suffered food poisoning.,1,0,Hospitality & Food,True
REV-042142,Stay away from this seafood platter. Encountered sticky tables. Several in our party suffered food poisoning.,2,0,Hospitality & Food,False
REV-045081,Hotel room review: Spotless cleanliness. Outstanding dining experience featuring the. Already planning our next reservation here.,5,1,Hospitality & Food,True
REV-016639,"Really happy with the running sneakers. It offers soft fabric, and highly recommend to anyone looking for comfort and style.",4,1,Retail & Apparel,True
REV-020425,Five stars! The vibrant color of this cardigan blew me away. Exceeded my expectations regarding the and highly recommend to anyone looking for comfort and style.,4,1,Retail & Apparel,True
REV-088703,Reliable and trustworthy team for our haircut and styling. The punctual arrival is exceptional! Fair quote with no surprise fees at the end.,4,1,Services & Professional,True
REV-000150,One star! The frayed seams of this cardigan is horrific. Zero stars if I could for this. Returning this immediately.,1,0,Retail & Apparel,False
REV-001762,Stay away from this silk dress. Encountered itchy material. Customer service refused to offer an exchange.,1,0,Retail & Apparel,False
REV-063121,Five stars! The crystal clear display of this mechanical keyboard blew me away. Extremely pleased with the high speed and and battery lasts two full days on a single charge.,5,1,Consumer Tech & Electronics,True
REV-069162,Do not recommend this fast charger at all. Suffers from buggy companion software. Tech support was unresponsive and voided the warranty.,2,0,Consumer Tech & Electronics,True
REV-064884,Stay away from this tablet. Encountered terrible battery drain. Fails to hold any charge after a month.,1,0,Consumer Tech & Electronics,True
REV-002496,One star! The frayed seams of this raincoat is horrific. Zero stars if I could for this. The sizing chart is completely misleading.,1,0,Retail & Apparel,False
REV-080297,"Really happy with the pest control treatment. It offers thorough inspection, and finished ahead of schedule with zero hassle.",5,1,Services & Professional,True
REV-019448,Zero stars if I could for this formal blazer. The completely inaccurate sizing is unacceptable. Fell apart after the very first wash.,2,0,Retail & Apparel,True
REV-041332,Stay away from this tasting menu. Encountered horrible waiting time. Left hungry and frustrated after paying a fortune.,2,0,Hospitality & Food,True
REV-014889,Super happy with the quality of the leather boots. The comfortable lining is exceptional! Worth every single penny.,5,1,Retail & Apparel,True
REV-088637,Reliable and trustworthy team for our pest control treatment. The professional advice is exceptional! Polite technicians who respected our home.,4,1,Services & Professional,True
REV-094893,"Really happy with the home AC repair. It offers professional advice, and fair quote with no surprise fees at the end.",5,1,Services & Professional,False
REV-092732,One star! The damaged my property of this dry cleaning is horrific. Unprofessional and incompetent team doing the. Still waiting for a callback two weeks later.,1,0,Services & Professional,True
REV-029131,"Really happy with the cozy suite. It offers tender and juicy, and a delightful culinary experience.",5,1,Hospitality & Food,False
REV-079023,Dry cleaning review: Fair and transparent pricing. Highly impressed with the professionalism during the. Will be our go-to contractor from now on.,5,1,Services & Professional,False
REV-084937,Five stars! The courteous communication of this roof inspection blew me away. Honest and efficient crew handling the and fair quote with no surprise fees at the end.,4,1,Services & Professional,True
REV-016822,Stay away from this running sneakers. Encountered bad odor. The sizing chart is completely misleading.,1,0,Retail & Apparel,True
REV-036734,Worst dinner in a long time with the craft coffee. The horrible waiting time is unacceptable. Several in our party suffered food poisoning.,2,0,Hospitality & Food,True
REV-015603,Five stars! The comfortable lining of this raincoat blew me away. I am genuinely impressed by this and worth every single penny.,5,1,Retail & Apparel,False
REV-028534,Do not recommend this tasting menu at all. Suffers from freezing cold food. Completely ruined our evening.,1,0,Hospitality & Food,True
REV-069770,Do not recommend this smartwatch at all. Suffers from laggy performance. Overheats dangerously during moderate usage.,2,0,Consumer Tech & Electronics,True
REV-011406,One star! The itchy material of this running sneakers is horrific. Zero stars if I could for this. Customer service refused to offer an exchange.,1,0,Retail & Apparel,False
REV-096853,Highly impressed with the professionalism during the oil change service. The tidy clean up after job is exceptional! Consistently dependable service.,5,1,Services & Professional,True
REV-016131,"Really happy with the skinny jeans. It offers breathable texture, and got so many compliments wearing this.",5,1,Retail & Apparel,True
REV-019793,Great addition to my wardrobe! The raincoat. The perfect fit is exceptional! Highly recommend to anyone looking for comfort and style.,5,1,Retail & Apparel,True
REV-089578,Do not recommend this moving service at all. Suffers from unclear billing. Had to hire a second company to fix their mistakes.,1,0,Services & Professional,True
REV-040164,One star! The sticky tables of this sushi platter is horrific. Such a huge letdown regarding the. Dirty glasses and unhygienic restrooms.,1,0,Hospitality & Food,True
REV-031777,"Really happy with the hotel room. It offers generous portion size, and will be recommending to all our friends and family.",4,1,Hospitality & Food,False
REV-025331,"Really happy with the breakfast buffet. It offers fresh ingredients, and already planning our next reservation here.",4,1,Hospitality & Food,True
REV-079157,"Really happy with the dry cleaning. It offers thorough inspection, and finished ahead of schedule with zero hassle.",4,1,Services & Professional,True
REV-051686,Do not recommend this external SSD at all. Suffers from distorted microphone sound. Flimsy cable broke on day three.,1,0,Consumer Tech & Electronics,False
REV-075499,Five stars! The professional advice of this car detailing blew me away. Seamless and smooth experience with the and will be our go-to contractor from now on.,4,1,Services & Professional,True
REV-004728,Zero stars if I could for this skinny jeans. The loose threads is unacceptable. Returning this immediately.,1,0,Retail & Apparel,False
REV-085199,Pest control treatment review: Fair and transparent pricing. Top notch workmanship provided for the. Finished ahead of schedule with zero hassle.,5,1,Services & Professional,True
REV-035796,One star! The unbearable noise of this truffle pasta is horrific. Worst dinner in a long time with the. Dirty glasses and unhygienic restrooms.,1,0,Hospitality & Food,True
REV-012257,"Really happy with the skinny jeans. It offers premium finish, and will definitely order another color soon.",4,1,Retail & Apparel,True
REV-035719,Five stars! The prompt delivery of this tasting menu blew me away. Consistently the top spot in town for and a delightful culinary experience.,5,1,Hospitality & Food,True
REV-070552,Stay away from this tablet. Encountered constant bluetooth dropouts. Flimsy cable broke on day three.,2,0,Consumer Tech & Electronics,True
REV-054375,Portable power bank review: Deep rich bass. Best tech purchase of the year is definitely this. Fast shipping and solid protective packaging.,5,1,Consumer Tech & Electronics,True
REV-039692,Do not recommend this smash burger at all. Suffers from overpriced bill. Dirty glasses and unhygienic restrooms.,1,0,Hospitality & Food,False
REV-093703,Plumbing repair review: Fair and transparent pricing. Top notch workmanship provided for the. Finished ahead of schedule with zero hassle.,4,1,Services & Professional,True
REV-073692,One star! The buggy companion software of this smartwatch is horrific. Unreliable and frustrating experience with the. Crashes my PC every time it connects.,2,0,Consumer Tech & Electronics,True
REV-098071,Reliable and trustworthy team for our dental cleaning. The tidy clean up after job is exceptional! Finished ahead of schedule with zero hassle.,4,1,Services & Professional,True
REV-000576,Stay away from this t-shirt. Encountered thin cloth. Save your cash and look elsewhere.,1,0,Retail & Apparel,True
REV-084611,Reliable and trustworthy team for our lawn maintenance. The professional advice is exceptional! Consistently dependable service.,5,1,Services & Professional,False
REV-061770,Do not buy this! Constant hardware failure on the wireless headphones. The buggy companion software is unacceptable. Tech support was unresponsive and voided the warranty.,2,0,Consumer Tech & Electronics,True
REV-032261,Breakfast buffet review: Warm and attentive service. Outstanding dining experience featuring the. A delightful culinary experience.,4,1,Hospitality & Food,False
REV-082200,One star! The two hour late arrival of this plumbing repair is horrific. Unprofessional and incompetent team doing the. Refused to take responsibility for property damage.,1,0,Services & Professional,False
REV-036291,We were blown away by the breakfast buffet. The bursting with flavor is exceptional! Will be recommending to all our friends and family.,5,1,Hospitality & Food,True
REV-078450,Scam alert! Had a horrific experience with the accounting consultation. The damaged my property is unacceptable. Unacceptable incompetence from start to finish.,1,0,Services & Professional,True
REV-060056,Stay away from this bluetooth speaker. Encountered buggy companion software. Tech support was unresponsive and voided the warranty.,2,0,Consumer Tech & Electronics,True
REV-045949,Consistently the top spot in town for margherita pizza. The inviting atmosphere is exceptional! Already planning our next reservation here.,5,1,Hospitality & Food,True
REV-028178,Worst dinner in a long time with the truffle pasta. The freezing cold food is unacceptable. Completely ruined our evening.,2,0,Hospitality & Food,True
REV-084464,One star! The disrespectful attitude of this oil change service is horrific. Completely butchered the job during the. Still waiting for a callback two weeks later.,1,0,Services & Professional,False
REV-000579,Five stars! The premium finish of this running sneakers blew me away. Great addition to my wardrobe! The and will definitely order another color soon.,4,1,Retail & Apparel,True
REV-030960,One star! The unbearable noise of this truffle pasta is horrific. Never coming back here due to the. Left hungry and frustrated after paying a fortune.,1,0,Hospitality & Food,False
REV-064291,Portable power bank review: Snappy processing speed. Incredible performance and reliability from this. Battery lasts two full days on a single charge.,5,1,Consumer Tech & Electronics,False
REV-014532,Do not recommend this handbag at all. Suffers from itchy material. Save your cash and look elsewhere.,2,0,Retail & Apparel,False
REV-017934,"Arrived in awful condition, particularly the winter jacket. The frayed seams is unacceptable. Returning this immediately.",2,0,Retail & Apparel,False
REV-033609,Grilled steak review: Tender and juicy. Consistently the top spot in town for. Will be recommending to all our friends and family.,4,1,Hospitality & Food,True
REV-049960,Worst dinner in a long time with the tasting menu. The freezing cold food is unacceptable. Completely ruined our evening.,1,0,Hospitality & Food,True
REV-066599,Five stars! The snappy processing speed of this mechanical keyboard blew me away. Upgraded from my old device to this and fast shipping and solid protective packaging.,4,1,Consumer Tech & Electronics,True
REV-099090,Stay away from this home AC repair. Encountered unclear billing. Still waiting for a callback two weeks later.,1,0,Services & Professional,True
REV-034452,One star! The sticky tables of this truffle pasta is horrific. Horrendous management and inedible. Left hungry and frustrated after paying a fortune.,1,0,Hospitality & Food,False
REV-034081,Cocktail selection review: Prompt delivery. We were blown away by the. The chef really knows what they are doing!,4,1,Hospitality & Food,True
REV-063588,One star! The laggy performance of this portable power bank is horrific. Defective product straight out of the box with the. Crashes my PC every time it connects.,2,0,Consumer Tech & Electronics,False
REV-004294,Stay away from this silk dress. Encountered thin cloth. The sizing chart is completely misleading.,2,0,Retail & Apparel,True
REV-069103,Five stars! The crystal clear display of this fast charger blew me away. Extremely pleased with the high speed and and syncs seamlessly across all my devices.,5,1,Consumer Tech & Electronics,False
REV-086412,Stay away from this lawn maintenance. Encountered shoddy workmanship. Owner threatened us when we asked for a revised invoice.,2,0,Services & Professional,True
REV-099477,Plumbing repair review: Quick turnaround time. Honest and efficient crew handling the. Will be our go-to contractor from now on.,5,1,Services & Professional,False
REV-053930,One star! The overheating issues of this mechanical keyboard is horrific. Complete waste of cash regarding the. Overheats dangerously during moderate usage.,1,0,Consumer Tech & Electronics,True
REV-087071,Dental cleaning review: Fair and transparent pricing. Could not have asked for better service regarding the. Finished ahead of schedule with zero hassle.,5,1,Services & Professional,True
REV-065084,Defective product straight out of the box with the wireless headphones. The terrible battery drain is unacceptable. Overheats dangerously during moderate usage.,2,0,Consumer Tech & Electronics,False
REV-030713,We were blown away by the cocktail selection. The bursting with flavor is exceptional! Will be recommending to all our friends and family.,5,1,Hospitality & Food,True
REV-049183,Consistently the top spot in town for craft coffee. The inviting atmosphere is exceptional! Will be recommending to all our friends and family.,5,1,Hospitality & Food,False
REV-057235,Upgraded from my old device to this fast charger. The deep rich bass is exceptional! Battery lasts two full days on a single charge.,5,1,Consumer Tech & Electronics,False
REV-015664,One star! The completely inaccurate sizing of this skinny jeans is horrific. Extremely disappointed with this. Customer service refused to offer an exchange.,1,0,Retail & Apparel,True
REV-019967,Handbag review: Soft fabric. Super happy with the quality of the. Worth every single penny.,5,1,Retail & Apparel,True
REV-091913,Five stars! The fair and transparent pricing of this home AC repair blew me away. Top notch workmanship provided for the and finished ahead of schedule with zero hassle.,4,1,Services & Professional,False
REV-091958,Do not recommend this lawn maintenance at all. Suffers from hidden extra fees. Still waiting for a callback two weeks later.,1,0,Services & Professional,True
REV-081347,Seamless and smooth experience with the roof inspection. The tidy clean up after job is exceptional! Consistently dependable service.,4,1,Services & Professional,True
REV-055326,One star! The constant bluetooth dropouts of this gaming monitor is horrific. Terrible engineering and zero support for the. Fails to hold any charge after a month.,1,0,Consumer Tech & Electronics,True
REV-029858,Do not recommend this tasting menu at all. Suffers from stale bread. Several in our party suffered food poisoning.,1,0,Hospitality & Food,True
REV-071223,Noise cancelling earbuds review: Crystal clear display. Extremely pleased with the high speed and. Well worth the investment for daily remote work.,5,1,Consumer Tech & Electronics,True
REV-052459,Five stars! The ultra quiet cooling of this bluetooth speaker blew me away. Best tech purchase of the year is definitely this and syncs seamlessly across all my devices.,4,1,Consumer Tech & Electronics,True
REV-088346,One star! The left a huge mess behind of this pest control treatment is horrific. Overcharged by hundreds for an unfinished. Refused to take responsibility for property damage.,1,0,Services & Professional,True
REV-082364,Avoid this company at all costs for your car detailing. The damaged my property is unacceptable. Unacceptable incompetence from start to finish.,2,0,Services & Professional,True
REV-065350,Stay away from this bluetooth speaker. Encountered buggy companion software. Crashes my PC every time it connects.,1,0,Consumer Tech & Electronics,False
REV-059650,Do not recommend this mechanical keyboard at all. Suffers from terrible battery drain. Flimsy cable broke on day three.,2,0,Consumer Tech & Electronics,True
REV-044953,Seafood platter review: Prompt delivery. Outstanding dining experience featuring the. Already planning our next reservation here.,4,1,Hospitality & Food,False
REV-039526,Stay away from this smash burger. Encountered unbearable noise. Dirty glasses and unhygienic restrooms.,1,0,Hospitality & Food,False
REV-013936,Do not recommend this raincoat at all. Suffers from frayed seams. Fell apart after the very first wash.,1,0,Retail & Apparel,True
REV-093781,Haircut and styling review: Tidy clean up after job. Reliable and trustworthy team for our. Finished ahead of schedule with zero hassle.,5,1,Services & Professional,True
REV-089885,"Really happy with the accounting consultation. It offers expert craftsmanship, and fair quote with no surprise fees at the end.",4,1,Services & Professional,True
REV-081144,Do not recommend this pest control treatment at all. Suffers from damaged my property. Unacceptable incompetence from start to finish.,1,0,Services & Professional,True
REV-095800,One star! The unresolved underlying issue of this plumbing repair is horrific. Completely butchered the job during the. Unacceptable incompetence from start to finish.,2,0,Services & Professional,True
REV-089405,Honest and efficient crew handling the dental cleaning. The expert craftsmanship is exceptional! Polite technicians who respected our home.,4,1,Services & Professional,True
REV-055224,Do not recommend this noise cancelling earbuds at all. Suffers from dead pixels on arrival. Overheats dangerously during moderate usage.,1,0,Consumer Tech & Electronics,True
REV-073646,One star! The distorted microphone sound of this portable power bank is horrific. Complete waste of cash regarding the. Crashes my PC every time it connects.,1,0,Consumer Tech & Electronics,True
REV-066294,One star! The dead pixels on arrival of this gaming monitor is horrific. Defective product straight out of the box with the. Flimsy cable broke on day three.,2,0,Consumer Tech & Electronics,True
REV-065540,"Died after two weeks of normal use, especially the tablet. The dead pixels on arrival is unacceptable. Fails to hold any charge after a month.",1,0,Consumer Tech & Electronics,True
REV-028111,Five stars! The warm and attentive service of this truffle pasta blew me away. We were blown away by the and already planning our next reservation here.,4,1,Hospitality & Food,True
REV-041929,Tasting menu review: Fresh ingredients. Delicious meal! Loved the. The staff made our anniversary feel truly special.,5,1,Hospitality & Food,False
REV-086547,Honest and efficient crew handling the car detailing. The professional advice is exceptional! Will be our go-to contractor from now on.,5,1,Services & Professional,True
REV-082586,One star! The unresolved underlying issue of this dry cleaning is horrific. Scam alert! Had a horrific experience with the. Unacceptable incompetence from start to finish.,2,0,Services & Professional,False
REV-038604,One star! The horrible waiting time of this sushi platter is horrific. Such a huge letdown regarding the. Completely ruined our evening.,2,0,Hospitality & Food,True
REV-091658,Do not recommend this lawn maintenance at all. Suffers from damaged my property. Refused to take responsibility for property damage.,2,0,Services & Professional,True
REV-062787,Five stars! The ultra quiet cooling of this noise cancelling earbuds blew me away. Incredible performance and reliability from this and build quality feels very premium.,5,1,Consumer Tech & Electronics,True
REV-084341,Five stars! The expert craftsmanship of this moving service blew me away. Could not have asked for better service regarding the and consistently dependable service.,5,1,Services & Professional,True
REV-039875,"Really happy with the craft coffee. It offers tender and juicy, and the staff made our anniversary feel truly special.",5,1,Hospitality & Food,True
REV-078469,Moving service review: Thorough inspection. Top notch workmanship provided for the. Will be our go-to contractor from now on.,5,1,Services & Professional,True
REV-031632,Stay away from this truffle pasta. Encountered overpriced bill. Completely ruined our evening.,1,0,Hospitality & Food,True
REV-014953,Super happy with the quality of the running sneakers. The durable material is exceptional! Worth every single penny.,4,1,Retail & Apparel,False
REV-039332,Do not recommend this margherita pizza at all. Suffers from freezing cold food. The manager argued with us when we complained.,1,0,Hospitality & Food,True
REV-048588,Stay away from this seafood platter. Encountered unbearable noise. Completely ruined our evening.,1,0,Hospitality & Food,True
REV-083595,Reliable and trustworthy team for our accounting consultation. The tidy clean up after job is exceptional! Consistently dependable service.,4,1,Services & Professional,True
REV-041488,Never coming back here due to the cozy suite. The rude and dismissive staff is unacceptable. Completely ruined our evening.,1,0,Hospitality & Food,False
REV-039628,Stay away from this truffle pasta. Encountered stale bread. Several in our party suffered food poisoning.,2,0,Hospitality & Food,True
REV-087895,Accounting consultation review: Fair and transparent pricing. Honest and efficient crew handling the. Finished ahead of schedule with zero hassle.,4,1,Services & Professional,False
REV-026304,Never coming back here due to the cocktail selection. The unbearable noise is unacceptable. The manager argued with us when we complained.,2,0,Hospitality & Food,True
REV-067404,Stay away from this portable power bank. Encountered dead pixels on arrival. Tech support was unresponsive and voided the warranty.,1,0,Consumer Tech & Electronics,True
REV-098085,"Really happy with the oil change service. It offers punctual arrival, and polite technicians who respected our home.",5,1,Services & Professional,True
REV-095602,Do not recommend this moving service at all. Suffers from unclear billing. Still waiting for a callback two weeks later.,1,0,Services & Professional,True
REV-005020,Do not waste your money on this t-shirt. The bad odor is unacceptable. Save your cash and look elsewhere.,2,0,Retail & Apparel,True
REV-005224,One star! The faded dye of this wool sweater is horrific. Zero stars if I could for this. Returning this immediately.,2,0,Retail & Apparel,True
REV-015781,"Really happy with the wool sweater. It offers vibrant color, and worth every single penny.",5,1,Retail & Apparel,True
REV-045557,Outstanding dining experience featuring the grilled steak. The fresh ingredients is exceptional! The staff made our anniversary feel truly special.,5,1,Hospitality & Food,True
REV-012897,Five stars! The perfect fit of this winter jacket blew me away. Hands down the best and worth every single penny.,4,1,Retail & Apparel,False
REV-034305,"Really happy with the truffle pasta. It offers spotless cleanliness, and the staff made our anniversary feel truly special.",4,1,Hospitality & Food,True
REV-093323,Could not have asked for better service regarding the car detailing. The professional advice is exceptional! Fair quote with no surprise fees at the end.,5,1,Services & Professional,True
REV-005325,Great addition to my wardrobe! The raincoat. The perfect fit is exceptional! Worth every single penny.,5,1,Retail & Apparel,True
